age,years_employed,annual_income,credit_score,debt_to_income_ratio,num_existing_loans,previous_defaults,loan_amount,loan_term_months,loan_purpose,avg_monthly_balance,months_as_customer,default
30,5,28500.0,578,0.2,1,0,10000.0,12,personal,1756.75,90,0
29,1,18500.0,484,0.22,0,0,13000.0,24,debt_consolidation,499.62,66,0
45,1,20800.0,555,0.13,0,0,5000.0,12,personal,665.56,80,0
57,18,52000.0,697,0.47,3,0,16500.0,36,personal,799.61,270,0
48,25,52200.0,443,0.38,2,0,5000.0,12,personal,1265.13,87,0
45,7,26700.0,531,0.12,0,0,5000.0,12,education,203.81,149,0
36,8,45000.0,496,0.21,2,1,13000.0,12,personal,821.21,89,0
52,27,52300.0,514,0.43,2,0,5000.0,60,business,557.89,74,0
43,12,16000.0,383,0.18,1,0,5000.0,36,business,389.86,100,0
41,10,24300.0,473,0.15,1,0,17500.0,12,education,697.08,20,0
38,2,54500.0,500,0.19,1,0,19000.0,36,debt_consolidation,2006.57,50,0
35,3,19100.0,467,0.33,0,0,5000.0,24,home_improvement,368.58,43,0
29,4,34200.0,455,0.4,2,0,16500.0,24,debt_consolidation,432.31,30,0
53,19,28000.0,676,0.12,1,1,8500.0,12,personal,571.93,78,0
40,14,23400.0,550,0.34,1,0,5000.0,12,personal,775.18,97,0
36,7,16200.0,517,0.32,1,0,6000.0,48,education,144.6,40,0
48,21,36700.0,571,0.34,3,0,18500.0,48,debt_consolidation,951.77,38,0
24,0,15000.0,468,0.29,0,0,5000.0,24,personal,235.8,25,0
37,14,29600.0,484,0.47,5,0,5000.0,48,personal,122.75,35,0
55,4,22400.0,507,0.12,0,0,9000.0,24,debt_consolidation,674.2,161,0
26,2,22300.0,532,0.18,1,1,5000.0,48,home_improvement,657.3,64,0
42,5,26300.0,402,0.26,0,0,9000.0,12,business,539.37,80,0
30,11,41000.0,481,0.2,1,1,16500.0,60,debt_consolidation,1174.29,58,0
47,18,28400.0,510,0.29,3,0,17500.0,12,home_improvement,489.42,27,0
49,23,64800.0,652,0.29,0,1,28500.0,48,home_improvement,3439.06,92,0
40,11,25300.0,548,0.37,2,1,19500.0,60,business,425.91,17,0
41,10,30200.0,524,0.46,1,0,6000.0,24,personal,424.31,53,0
52,1,16900.0,528,0.51,3,0,12500.0,60,debt_consolidation,608.02,127,0
44,12,35400.0,560,0.28,2,0,5500.0,12,personal,505.4,69,0
42,15,32600.0,462,0.28,0,1,11500.0,60,personal,1548.51,108,0
45,18,31500.0,599,0.37,1,0,12500.0,24,personal,652.55,109,0
29,3,20800.0,534,0.37,1,0,15500.0,12,home_improvement,749.98,17,0
59,19,49500.0,676,0.2,2,0,15500.0,24,business,1137.95,207,0
26,3,15000.0,385,0.41,1,1,8000.0,48,home_improvement,365.22,31,0
31,7,47500.0,519,0.26,2,0,13500.0,48,education,639.05,112,0
39,10,19000.0,377,0.12,0,1,22500.0,36,education,804.55,108,0
38,16,34000.0,458,0.21,1,1,18000.0,24,personal,1108.54,43,0
42,4,23300.0,451,0.31,1,0,5000.0,48,personal,150.23,5,0
39,4,46100.0,584,0.25,2,0,11000.0,12,home_improvement,733.66,142,0
25,2,20800.0,532,0.09,0,0,5000.0,36,education,872.8,30,0
42,8,30700.0,571,0.44,1,0,5000.0,12,home_improvement,1133.25,49,0
25,3,25100.0,458,0.11,0,0,24500.0,48,home_improvement,359.63,5,0
49,15,31000.0,508,0.3,1,0,13500.0,12,business,730.95,58,0
32,4,30100.0,629,0.26,1,0,5000.0,12,personal,100.0,42,0
30,7,24700.0,503,0.36,1,0,6500.0,24,business,111.48,16,0
43,8,15000.0,454,0.41,2,1,8000.0,12,debt_consolidation,734.08,45,0
24,2,15000.0,471,0.42,0,0,5000.0,12,personal,204.57,10,1
45,4,16700.0,509,0.4,2,0,5000.0,12,home_improvement,637.44,64,0
27,4,24200.0,445,0.46,2,1,13000.0,36,home_improvement,602.62,41,0
63,13,33200.0,428,0.4,1,1,7000.0,12,home_improvement,445.32,91,0
37,3,21900.0,520,0.37,2,0,14000.0,12,debt_consolidation,1293.62,83,0
40,2,49100.0,460,0.13,1,2,9500.0,12,education,1730.88,46,0
56,31,37600.0,475,0.21,1,0,7000.0,12,personal,696.24,60,0
37,12,79400.0,455,0.1,0,0,30000.0,48,home_improvement,1330.4,93,0
33,7,42200.0,505,0.29,2,0,15500.0,60,home_improvement,1924.63,40,0
37,12,23100.0,469,0.08,0,0,13500.0,48,personal,630.18,48,0
48,19,42500.0,513,0.22,1,0,15000.0,36,debt_consolidation,1343.7,31,0
63,5,32400.0,554,0.37,1,1,12000.0,12,personal,321.71,172,0
40,4,23900.0,473,0.28,2,1,13500.0,24,education,554.62,142,0
31,8,29000.0,495,0.43,2,1,11000.0,36,personal,860.91,52,0
39,6,17200.0,533,0.53,3,1,5000.0,12,business,276.5,60,0
30,7,27200.0,437,0.14,0,0,5000.0,24,home_improvement,284.2,55,0
29,6,22200.0,562,0.43,2,0,17000.0,36,home_improvement,354.96,34,0
29,7,36700.0,609,0.12,0,1,9500.0,60,personal,568.74,13,0
40,11,30000.0,528,0.22,2,0,15000.0,36,debt_consolidation,1022.96,90,0
52,13,30700.0,397,0.29,2,2,17500.0,12,personal,362.06,24,0
30,3,21200.0,533,0.48,2,0,11000.0,12,home_improvement,338.07,58,0
57,8,30600.0,620,0.34,3,0,6500.0,12,debt_consolidation,434.28,124,0
37,8,34100.0,542,0.22,1,0,5000.0,12,debt_consolidation,1668.26,128,0
47,23,20200.0,455,0.29,1,0,17000.0,24,debt_consolidation,770.19,79,0
38,1,25600.0,558,0.24,2,1,6500.0,48,debt_consolidation,408.47,119,0
48,21,23500.0,542,0.31,1,0,20500.0,36,home_improvement,846.21,83,0
31,6,16300.0,390,0.19,1,1,8500.0,36,debt_consolidation,578.99,32,0
28,7,41500.0,532,0.15,0,1,15000.0,36,debt_consolidation,1125.77,53,0
44,4,50100.0,549,0.36,1,0,22500.0,60,home_improvement,912.58,81,0
49,9,26100.0,512,0.35,0,1,11500.0,12,home_improvement,248.01,133,0
42,6,23200.0,569,0.25,1,0,7000.0,60,personal,628.06,63,0
56,5,41400.0,611,0.31,1,1,17500.0,60,personal,2447.27,189,0
57,22,61800.0,579,0.23,3,0,18500.0,12,home_improvement,1021.14,181,0
35,2,41700.0,603,0.28,1,0,13500.0,24,business,561.19,38,0
56,20,37000.0,474,0.37,4,1,9000.0,60,personal,239.95,131,0
45,0,27800.0,612,0.24,1,0,5000.0,24,home_improvement,392.3,97,0
40,6,30200.0,437,0.22,2,0,14500.0,12,debt_consolidation,934.67,34,0
35,6,34400.0,499,0.31,2,0,15500.0,24,home_improvement,711.65,64,0
52,10,39500.0,503,0.42,1,0,13500.0,48,education,772.77,155,0
40,13,28300.0,573,0.23,1,0,5000.0,24,business,1102.46,30,0
38,9,26100.0,441,0.15,0,0,5000.0,12,debt_consolidation,768.71,90,0
40,9,30300.0,432,0.29,1,0,15000.0,24,personal,775.8,65,0
27,2,18300.0,531,0.31,2,0,5000.0,24,home_improvement,466.82,8,0
43,15,18400.0,590,0.24,0,0,5000.0,24,personal,657.08,64,0
34,4,15600.0,507,0.37,0,0,5000.0,12,home_improvement,663.71,15,0
23,1,15000.0,589,0.18,1,0,8500.0,12,education,260.79,16,0
24,4,37600.0,647,0.23,1,0,14000.0,24,debt_consolidation,1406.13,35,0
30,2,19500.0,458,0.33,0,0,17000.0,24,business,640.45,62,0
